Thought,Black and White,Overgeneralization,Mental Filtering,Disqualifying the Positive,Mind Reading,Fortune Telling,Catastrophizing,Emotional Reasoning,Should Statements,Labeling,Self-Blame,Blaming Others
I'm here again. I'm not happy today. I've been crying since yesterday.,0,0,0,0,0,0,0,0,0,1,0,0
The world's not going to be all right.,0,0,0,0,0,1,0,0,0,0,0,0
No one cares anyway.,0,0,0,0,0,1,0,0,0,0,0,0
"I don't want to do anything, I want to sink, I want to fall, I want to fall, I want to fall, I want to fall, I want to die, I want to die.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm numb, because some strange things don't laugh, and I don't know what it's like to be happy. The whole world doesn't want to do anything. Looking back is blank and there's no light in the future.",0,0,1,0,0,0,0,0,0,0,0,0
"I know it's a small thing to break up with us, but it must be a small thing to look back on, but I'm in a lot of pain right now.",0,0,0,0,0,0,1,0,0,0,0,0
"You know, I really don't want to live today, I'm really tired, I used to think it was hard for my mom, she always said I was dead and she was dead, so I was alive. But today I'm really tired, and he said I was pretending, and it wasn't, and if my grandma and my brother hadn't stopped me, that knife would have cut off my wrist. If my death could have ended it, I really would have.",0,0,1,0,0,0,0,0,0,0,0,0
"A couple of years ago, I thought I was fine, and it was getting worse and worse, and everything was going downhill, and when was the end?",0,0,1,0,0,0,1,0,0,0,0,0
"After all, I've tasted the first evil of humanity, and when I've seen the worst nature of human beings, it's not too sad to experience the day of despair, and there's no good hope, and I just want to make myself happy now.",0,0,1,0,0,0,0,0,0,0,0,0
I don't know if it's too much to be afraid of someone who likes to be unhappy when he doesn't feel well.,0,0,0,0,0,0,0,0,0,1,0,0
"I've been depressed for a long time and I've wanted to die many times, until one day when I put a blade on my wrist but I don't have the courage to cut it down, and I don't want to live. But I'm afraid to die, I'm scared, I don't want to die, but I'm always tired, I'm tired, I'm tired, I can't breathe, I can't even open my eyes, I can't wipe my eyes, I can't get my tears out like that. I'm really tired, I'm tired.",0,0,1,0,0,0,0,0,0,0,0,0
Nothing can be done.,0,1,0,0,0,0,0,0,0,0,0,0
"It's only today that I've learned about the “drinking” microblogging, as I can see. It's not easy for people who come here to comment. Me, too.",0,0,0,0,0,1,0,0,0,0,0,0
"I'm a terrible person, and every time I know someone, I end up leaving.",0,1,0,0,0,0,0,0,0,1,0,0
"It's sad that you're not in college, and you're being asked if you're at your age.",0,0,0,0,0,0,1,0,0,0,0,0
I'm their biggest obstacle to a happy life.,0,0,0,0,0,1,0,0,0,0,0,0
Ha-ha-ha-ha-ha. I'll never be a qualified teacher.,0,0,0,0,0,1,0,0,0,0,0,0
"I know no one cares about me, but after all, I'm just an ugly duckling.",0,0,0,0,0,1,0,0,0,1,0,0
"I don't want to live, I'm afraid to die, and I can't stand it when you take me away from me.",0,0,1,0,0,0,0,0,0,0,0,0
"You're useless, rice.",0,0,0,0,0,0,0,0,0,1,0,0
"I can't do anything. There's no warmth. I'm sorry, I can't find the point of living.",0,1,1,0,0,0,0,0,0,0,0,0
"I want to go, I'm getting ready, I'm having a hard time living in the glass heart, I'm always sad about small things, I'm fed up, and I know there's a lot of good people in the world, but that class of us, it's disgusting.",0,0,1,0,0,0,0,0,0,1,0,0
"I envy you for your courage and feel like a chicken rat. She deleted me, and my mom thought I was a freak who talked about pre-divorce things so I could go to Dad myself. The teacher thinks I'm a liability, I'm about to graduate, I can't sign a job, the interview feels like I'm a negative person, my friends borrowed money to run away, and I still don't have the courage to stand up or have the courage to end it, and if I'm terminally ill, I can just leave.",0,0,1,0,0,0,0,0,0,1,0,0
"Everyone thinks I don't work, I'm dead, I don't want to see their power again...",0,0,1,0,0,0,1,0,0,0,0,0
"Occasional insomnia can cause anxiety and headaches, and when I'm about to break out of control, I can't sleep in the morning and get caught up in negative emotions. Fearing that I can't make it, Mom and Dad are good to me now. What do they do, though they still have sisters and brothers. It's hard to live every day, the only friend can't understand me, he can't tell his family, I don't know why I'm like this, I'm too tired...",0,0,1,0,0,0,0,0,0,0,0,0
"A man gives birth to a day of boredom, like a fool. And he eats a lot of messy things, and he calms the fire in my heart.",0,0,0,0,0,0,0,0,0,1,0,0
"If I'm depressed, then I think I'm saved, and the terrible thing is that if I'm not depressed, then I think I'm totally dead, and I don't dare go to the hospital, and I'm afraid the doctor will say that you're all right.",0,0,0,0,0,0,0,0,0,1,0,0
"I didn't think I was going to get better or worse. I was naive. The world is not worth it, and I am not worth it.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm killing people or setting fire to make you so afraid of me, I know you don't care about me, I don't want to be with you anymore, why do you hurt me, and I mean it to you, but you, why do I have to get into this endless darkness when nothing happens, I know I'm vulnerable, I know I'm sweet, I know I have many flaws, but why do you hurt me, why?",0,0,0,0,0,0,0,0,0,1,0,0
Last night we watched a late-night movie and kissed and held my hand for half an hour in front of my neighborhood.,0,0,0,0,1,0,0,0,0,1,0,0
"My father is a bit like Su, a little weak, but not as soft as Su. My mother is much softer than Zhao Meilan, he is hesitant to make his own decisions, and others refuse to make his own decisions.",0,0,0,0,0,0,0,0,0,1,0,0
"It's hard to get out on a bike with them yesterday, but it's not happy, it's like the world isn't about me, it's about the edge... it's so tired, you don't want to go out, you don't want to go out, you don't want to get a picture of it in a friend's circle...",0,0,1,0,0,0,0,0,0,0,0,0
He refused his best friend's application. I'm so sorry. I'm so sad.,0,0,0,0,0,0,1,0,0,0,0,0
"My life is too lazy, too weak, too stubborn, to be too incompetent, too anxious to be able to take control of my future.",0,0,0,0,0,0,0,0,0,1,0,0
It's all because I'm asking myself too much.,0,0,0,0,0,0,0,0,0,0,1,0
"Part of my anger, part of it, part of it, part of it, part of it, part of it, part of it, part of it, part of it, part of it, part of it, part of it, part of it, part of it, part of it.",1,0,0,0,0,0,0,0,0,0,0,0
"I like you, but you hate me.",0,0,0,0,1,0,0,0,0,0,0,0
Don't come in here. I really want to be alone.,0,0,0,0,0,0,1,0,0,0,0,0
"It was I who took the road this way, and some people in the world have dreams to work for it, and I am just living the day.",0,0,0,0,0,0,0,0,0,0,1,0
"I don't know what's going on around me, but I can't solve my problems. I feel like I can't get over it. I don't know what's going on.",0,0,0,0,0,0,0,1,0,0,0,0
"I don't want to go to Beijing. I don't like going to my aunt's house. I don't have a good relationship with my aunt. That's my stepmother. I don't like her very much. She's nice to me, but she's not my real mother. Still, I'm confused. My grandmother is old.",0,0,1,0,0,0,0,0,0,0,0,0
"It's been two years, and I'm here again, and I'm having a really bad time, and I want to go home when it doesn't seem like I'm really happy, and I want to hold my dog and put it in my arms, so I'll be so happy.",0,0,0,0,0,0,0,0,0,1,0,0
"I suddenly realized that, no matter how close I am to someone who's not depressed, who can never understand despair at the time of the attack, who can't find any reason to live, it's really bad that the whole world is so dark that he's been with me since he knew I had depression, but he wouldn't understand it. He said, ""Don't think about it, think about it, think about it, think about it if it's not, so I don't know how to talk about it.""",0,0,1,0,0,0,0,0,0,0,0,0
"Twelve hours a day, I can't sleep less than two or three in the morning, I sleep four or five hours a day, I can't be understood in my life, I can't get my heart out of a fight, I can cry, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep, I can't sleep.",0,0,1,0,0,0,0,0,0,0,0,0
I'm breaking up. I'm crying. I'm under a lot of stress.,0,0,1,0,0,0,0,0,0,0,0,0
"I have nothing to live for, no love for all of them, no soul for all of them. I'm sick. I can't control my thoughts, and so on, I just want to die, and I can think about what I was like when I died. I'm not in the future. I feel good, but it's not good to be alive.",0,0,1,0,0,0,0,0,0,0,0,0
"My grandfather was a civil servant, my grandmother was a great family member, and when my dad got married, he could have been fucked like everybody else.",0,0,0,0,0,0,0,0,0,1,0,0
"As a gypsy... if I get out of the closet, if I have to compromise, I'll do it for the rest of their lives, and I'll never find a boyfriend for myself... even if I can't find a girlfriend to kneel on my knees.",0,0,0,0,0,0,0,0,0,1,0,0
"It's good that you've got the courage, and I've got the pain between living and dying, and it's a painful process.",0,0,0,0,0,0,0,1,0,0,0,0
"I'm so self-righteous, I want to strangle myself.",0,0,0,0,0,0,0,0,0,1,0,0
Every night I want to die the next day.,0,0,1,0,0,0,0,0,0,0,0,0
"I'm like a quiet and beautiful hill, and I'm split up, and sometimes I want to have some powers, something to do, so that people can remember you, at least feel that you're there at two a.m. instead of being bored all day, so that every day I feel like a copy of a sticker, I feel like I'm there, I don't sleep at night, and I feel like I'm asleep, and I feel like I'm awake.",0,0,0,0,0,0,0,0,0,1,0,0
"I'm 25 years old, I'm 26 years old, I'm still without a boyfriend, my mom's worried that I won't get married, and I'm more and more guilty, and I feel sorry for them, and my life is a mess, and I want to close my eyes and never wake up again.",0,0,1,0,0,0,1,0,0,0,1,0
"There's always a feeling of incompetence, it's like someone's suddenly taking everything away. It's like no one understands me. It's hard.",0,0,0,0,0,1,0,0,0,0,0,0
"I never wanted to be redeemed, because no one would ever be redeemed. I've been responsible for all my sins since I was a child. It doesn't matter who's wrong or who's wrong. It's important that no one ever stands by me and says clearly, ""You're doing great, you're doing great, you're leaving the rest to me.""",0,1,0,0,0,0,0,0,0,0,0,0
"It's my birthday in 16 days, and I've been alone a couple of times, and this time I've planned to pass by by by myself, and I've been living to this point and I'm really tired, and I'm sorry that so many people in the world haven't lived around me for more than 20 years, filled with so much trouble, and I know I can't stand it anymore.",0,0,0,0,0,0,0,0,0,0,1,0
I don't have a future. It's like a beggar.,0,0,0,0,0,1,0,0,0,1,0,0
"I'm mesmerized, I smile at everyone, and I may start crying, and I feel like I don't have much hope of living. Parents' rejection and scolding, and the blame of their loved ones, I'm really crazy. The thing they say to me most often is that you listen to me, you're big, you're big, you understand your parents, you don't know anything. People can insist on why you can't. The Internet gives me a little comfort, thanks to the boy who's been with me.",0,0,1,0,0,0,1,0,0,0,0,0
Mom and Dad aren't working anymore. They don't know what they're thinking. They feel dark in the future.,0,0,1,0,0,0,0,0,0,0,0,0
It gets worse and worse because it makes bad decisions.,0,1,0,0,0,0,0,0,0,0,0,0
The world doesn't like me at all; I don't like it anymore.,0,1,0,0,0,1,0,0,0,0,0,0
"So when I'm gonna die, I'm gonna die, I'm gonna suffer, I'm gonna suffer, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die, I'm gonna die.",0,0,1,0,0,0,0,0,0,0,0,0
"I still want... if there's a chance, I'm gonna rot in a corner. I don't need anybody.",0,0,1,0,0,0,0,0,0,0,0,0
It's like I'm the only one suffering.,0,1,0,0,0,1,0,0,0,0,0,0
"Yeah, just a little love, but if you grow up and you get a little love, you'll be abandoned, and maybe I shouldn't live in this world, and I don't deserve the happiness of a normal person.",0,0,0,0,0,1,0,0,1,0,0,0
"Parents just think about getting married, but they don't even want to live.",0,0,0,0,0,1,0,0,0,0,0,0
I was wrong.,0,0,0,0,0,0,0,0,0,0,1,0
Maybe it wasn't self-defeating. I guess that's what I am.,0,0,0,0,0,0,0,0,1,0,0,0
"She's still doing well, even though I've tried so hard to make her feel better, why is she always lucky and happy when she's done so many bad things?",0,0,0,0,0,1,0,0,0,0,0,0
I'm like a piece of shit. I hate to see anybody.,0,0,0,0,0,0,0,0,0,1,0,0
"Silly, naive enough to borrow money from someone else and ask someone else to hit me, and I'll borrow it next time he's pathetic. No one says you're a good man, you're a good man, you don't have a brain, you're always trying to make yourself feel guilty and apologize for something bad, you want to be a bad person, but you want to be a good person. Ridiculous.",0,0,0,0,0,0,0,0,0,1,0,0
"I feel like I'm depressed, I envy you for being the person you like, no one in the world cares about how I feel, and I want to kill myself, but there's too much time for me to worry about.",0,0,0,0,0,1,0,0,0,1,0,0
"Always trying to save myself with a feeling, and finally finding out, tormenting people, hurting myself, maybe I'm not worthy of love.",0,0,0,0,0,0,0,1,0,0,0,0
"I'm tired of being emotionally tortured every day, and I can't live a normal life anymore, even taking a shower is a very tired thing, telling everyone around me that nobody believes me and thinks that I'm doing... that nobody understands... that it's so painful to be alive every day...",0,0,1,0,0,0,1,0,0,0,0,0
"The day after the break-up, I accepted the fact of the break-up; & nbsp; but the mood continued to collapse and cried from time to time.",0,0,1,0,0,0,1,0,0,0,0,0
"When I eat, I come to you when I'm sad. More and more people feel that no one can understand my pain. No one really feels the same way. They may think that I'm not strong enough to feel responsible enough to come up with a hundred-year-old idea. I feel that living is so difficult that I can't control myself from being sad. I can't control my negative side.",0,0,0,0,0,1,0,0,0,0,0,0
I like someone. I just like it. Isn't it too weak to even talk?,0,0,0,0,0,0,0,0,0,1,0,0
I'm a sinner.,0,0,0,0,0,0,0,0,0,0,1,0
My mom must be having an anxiety disorder because her children are dying.,0,0,0,0,0,1,0,0,0,1,0,0
"I'm not trying hard... I don't want to do anything, I'm lazy and I'm afraid to die. You're really good at cooking, but maybe living is better.",0,0,0,0,0,0,0,0,0,1,0,0
"I've always wondered what it means to be alive. It's not funny. I'm such an empty person, I don't like anything, I don't have a lot of friends, I don't want to do anything, I live like a ghost. What does it mean to be alive?",0,0,1,0,0,0,0,0,0,1,0,0
"I'm so tired, I can't sleep, I'm so desperate. Tears. It's useless for me to cry.",0,0,0,0,0,0,0,0,0,1,0,0
They're all big cabbage.,0,0,0,0,0,0,0,0,0,1,0,0
"Family, friendship, career, growing fear. Life isn't really what it is. It's about giving up.",0,0,1,0,0,0,0,0,0,1,0,0
Meals -- I don't know what I'm living for. It doesn't make sense. But I don't know how to do it better if my family's sad.,0,0,1,0,0,0,0,0,0,0,0,0
How could she hurt me like that?,0,0,0,0,0,0,0,0,0,0,0,1
I'm afraid that one day I'll really be gone... and I'm getting sick of myself.,0,0,1,0,0,0,0,0,0,0,0,0
Let's see what's worse. Come on.,0,0,0,0,0,1,0,0,0,0,0,0
"Who the fuck comes to save me, I'm really going to crash, it's too stressful.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm a little happy today, but I'm afraid that happiness will never belong to me, and a little happiness behind it is endless darkness.",0,1,0,0,0,1,0,0,0,0,0,0
"I don't know what to say today, but people are really selfish, and now I'm afraid of the dark.",0,0,0,0,0,0,0,0,0,1,0,0
Why am I so corrupt?,0,0,0,0,0,0,0,0,0,1,0,0
"It's getting more and more sensitive, thinking that you don't care about failure, but it's hard to talk about it, and it's too hard to beat yourself, and it's too hard to be brave to feel like it's gone, and nobody can talk about it.",0,0,1,0,0,0,1,0,0,1,0,0
"My friend said he finally understood why you didn't come to the dorm because you were so protected, and I thought it was so good that I was protected, that my boyfriend was protected, that my family was broke, that my boyfriend betrayed me, that there was a financial problem with my family business, and they all came together and they oppressed me and forced me to cry for a change of character.",0,0,0,0,0,0,1,0,0,0,0,0
"I feel like I'm suffocating, staring at my eyes until dawn, even when I'm tired of tears. I wonder what we're living for, what's the point, what's the point, what's the pain, what's the point, what's the point, what's the need to survive?",0,0,1,0,0,0,0,0,0,0,0,0
Why is it that I don't freak out when I'm being bullied? She's disgusting.,0,0,0,0,0,0,0,0,0,1,0,0
"Today's self, filled with resentment and anger, is not every day sad or angry, how am I supposed to get out of my head?",1,0,0,0,0,0,0,0,0,0,0,0
"I can't, I can't. I'm probably a self-absorbed person.",0,0,0,0,0,0,0,0,0,1,0,0
No one really cares about me. I don't care if I die.,0,0,0,0,0,1,0,0,0,0,0,0
"My family doesn't want me to stay at home and eat old, too expensive, too afraid to see the future. If I get up tomorrow at 6:00 and I'm in this mood, then I'm going to die.",0,0,1,0,0,0,0,0,0,0,0,0
"A coward, a coward, a useless man.",0,1,0,0,0,0,0,0,0,1,0,0
"Now I'm really afraid to respond to people's feelings, and I feel like I've been trying to fail them and anyone. I remember when I graduated from college, I wanted to go outside, but I don't know why I stayed in the county, and I didn't have a life like I thought, and then I grew up in this life and I didn't know what I was supposed to do. I really needed a hug, and I needed a goal.",0,0,0,0,0,0,0,0,0,0,1,0
I can't get out of fear like a shadow. This suffocation makes me feel like I'm dying.,0,0,1,0,0,0,0,0,0,0,0,0
"I've always thought it was funny for someone who's lost his love, but now I'm really sad to leave him, and I've lost my last life-saving straw.",0,0,1,0,0,0,1,0,0,0,0,0
"My sister started watching TV early in the morning, and until now, she's jumping in the room, stomping on the floor, laughing with weird noises. It's so loud, it's so annoying. I want to kick her out.",0,0,0,0,0,0,0,0,0,0,0,1
I can't find my job. I'm a piece of shit.,0,0,0,0,0,0,0,0,0,1,0,0
It's like I'm waiting every day for an accident to die & nbsp; & nbsp; I don't know why everyone feels bad to me & nbsp; & nbsp; I'm everywhere redundant & nbsp; & nbsp; I'm day-days but happy & nbsp; & nbsp; I'm late at night and I want to cry & nbsp; & nbsp; I think it's really hard to be a person...,0,1,1,0,1,0,0,0,0,0,0,0
"It's too much to say, I've thought about it, and I'm going to go one day, and I can't bear it, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going to go, and I'm going, and I'm going to go, and I'm going, and I'm going to go, and I'm going to go, and I'm going, and I'm going to go, and I'm going, and I'm going, and I's going, and I's going, and I's going, and I's going to go, and I's going, and I's, and I's, and I's going, and I's going, and I's, and I's going to go, and I's, and I's going, and I's going, and I's, and I's, and I's, and I's, and I's, and I's, and I's, and I's,",0,0,1,0,0,0,0,0,0,0,0,0
"When I got sick, I realized that I didn't have a friend.",0,0,0,0,0,1,0,0,0,0,0,0
"You're gone. I lose everything. You win, but what do I do? I'm alive for nothing.",0,0,1,0,0,1,0,0,0,0,0,0
"Every day, people feel like they don't want to live.",0,0,1,0,0,0,0,0,0,0,0,0
"What pig's hoof? Think about it, but you're not sleeping to hurt your body at this hour. Go to sleep.",0,0,0,0,0,0,0,0,0,1,0,0
"The only thing I feel guilty about is that I know that my parents spend so much on me, so much on her, and so much on my money, but there's so much I can't see, like in this house, that I can only sneak around and enjoy these spoils like a thief, and if we're sisters, I can do it right, but there's a lot less money to use, so it's all balanced.",0,0,0,0,0,0,0,0,0,1,0,0
"Next week, I'm gonna have to do it again. It's gonna cost me a quarter. I'm a loser.",0,0,0,0,0,0,0,0,0,1,0,0
"He's in a bad mood, he's suspicious of his boyfriend, he wants to break up, but he's not independent.",0,0,0,0,0,1,0,0,0,0,0,0
"Once again, there's always a negative feeling in the adult world. There's always anger at you. It's like no one cares about dying.",0,1,0,0,0,0,0,0,0,0,0,0
I shouldn't have come to this world.,0,0,0,0,0,0,0,0,1,0,0,0
"I don't care if the spring of April doesn't save me, standing under the sun, but I'm sorry I'd do better if I could do it again.",0,0,1,0,0,0,0,0,0,0,0,0
"I can laugh at even a little something funny, not because it's a little low, I just pretend to be happy, but I can't care about other people's thoughts, move around, feel alive for others, life has no meaning, want to be in the group, but every time I fail, I give up a man who talks to himself, who walks, who plays games.",0,0,1,0,0,0,1,0,0,0,0,0
I'm useless. Stupid people don't deserve to live easy. They're doing a lot of useless work.,0,0,0,0,0,1,0,0,0,1,0,0
"I've been asking for help many times since the beginning of my third year, 15 years, I've had you, I've had the light, but I'm not good, I've pushed my light away.",0,0,0,0,0,0,0,0,0,0,1,0
I hate this dirty world. I hate those dirty people.,0,0,0,0,0,0,0,0,0,1,0,0
"When I was in my teens and twenties, I started thinking of dying all day, and after 10 or 20 years of depression, almost 40 years of age, or when I met something I didn't want to face, I wanted to leave the world.",0,0,1,0,0,0,0,0,0,0,0,0
Sometimes I just want to cry like I used to. But I suddenly realized I didn't have any tears and I was numb. I thought of a doll and I couldn't feel it anymore.,0,0,0,0,0,0,0,0,0,1,0,0
"Either make me feel better, or I'll get an incurable disease, or I'll get a complete one.",1,0,0,0,0,0,0,0,0,0,0,0
"Unsatisfactory work, as well as the discomfort with colleagues, seems to have never been the same and eager to get together.",0,1,0,0,0,0,0,0,0,0,0,0
"It's raining out there today, and suddenly it's out of power, and my parents say they think I have personality defects, and they can't understand, and I'm gonna take someone else away from me, and I always like living in the past, and I can't pull myself out and torture myself. And I know that all the pressure comes from me, but in fact, I can't do anything about it, and I really hate myself.",0,0,1,0,0,0,0,0,0,0,1,0
"I feel like I'm useless, I'm losing my ID, I can't stand myself on the road, I'm walking and crying. I feel like I'm dying.",0,0,1,0,0,0,1,0,0,1,0,0
It's my fault I pick every day.,0,0,0,0,0,0,0,0,0,0,1,0
I can't say I'm really sorry. I'm really tired of living.,0,0,1,0,0,0,0,0,0,0,0,0
"I'm not good. When I chose to die, I put my parents and friends in the negative. I'm so sorry.",0,0,0,0,0,0,0,0,0,0,1,0
"I am a bipolar disorder patient who jumped out of the building and survived, spent money and energy on my loved ones, and I feel sad every day during the recovery period, feeling ashamed that I should not live, and that I should be blown to pieces.",0,0,1,0,0,0,0,0,1,1,0,0
"Today I'm being questioned by the people I like, and he's my little sun that gives me hope that every time it's my fault, and I don't want to explain it, it's raining again today, and I shouldn't expect someone to save me, and it's just someone else's burden, and I don't want to cry, and why I'm so weak, and I want to sneak out, but I don't dare.",0,0,0,0,0,0,0,0,0,1,0,0
"The memory's getting worse and worse, isn't it that one day no one remembers it?",0,0,0,0,0,1,0,0,0,0,0,0
"But what you have to understand is that your parents can't be the perfect look you want them to be, and they won't change.",0,0,0,0,0,1,0,0,0,0,0,0
I envy your determination. I'm really tired. I want to die. I really want to die.,0,0,0,0,0,0,1,0,0,0,0,0
"I don't know why I'm crying, but I'm in a good mood today.",0,0,0,0,0,0,0,0,0,1,0,0
It's so lame. I don't want to live.,0,0,0,0,0,0,0,0,0,1,0,0
"If you could see my heart, you'd find that it's been a long time since life had scarred me.",0,0,1,0,0,0,0,0,0,0,0,0
Idealists like me don't deserve to live in this world.,0,0,0,0,0,1,0,0,1,0,0,0
I liked him better than yesterday; like poison; and & nbsp; & nbsp; addictive; & nbsp; & nbsp; I found I couldn't quit; &nbsp; & nbsp; am I too greedy of him; & nbsp; and suddenly I feel so tired of living my life?,0,0,1,0,0,0,1,0,0,0,0,0
"I feel like I'm being targeted again, but I really don't know how to be smart.",0,0,0,0,1,0,0,0,0,0,0,0
"I'm also waiting for someone like that, but I feel so miserable that no one should come near me.",0,0,0,0,0,1,0,0,1,1,0,0
I feel like I'm getting colder and colder; and there's a man next to the subway who didn't stand down on me; and & & & nbsp; & nbsp; I don't even have the time to pick up & & nbsp; & nbsp; & nbsp; & get her to stand up on her own.,0,0,0,0,0,0,0,0,0,1,0,0
Bullshit. I'm tired. I blame myself for it every day. I'm sick and sick.,0,0,1,0,0,0,0,0,0,0,1,0
My colleagues may think I'm depressed. I look weird.,0,0,0,0,1,0,0,0,0,0,0,0
I'd rather die now than fear every moment of tomorrow's emotional breakdown. I really can't stand it. I can't help it.,0,0,1,0,0,0,1,0,0,0,0,0
"I was in my room, and I heard my mom and my brother and sister laughing, and when I didn't wake up, I started to get upset. When I got into bed with dolls, I thought if I died, what would they do, they could burn clothes, they could send books, but these dolls have been with me for years, and if I died, they'd be in the garbage.",0,0,0,0,1,0,0,0,1,0,0,0
"I've lived in the dark for years, but I don't want the sun anymore. I'm afraid when I can reach the sun, I'm afraid I'll lose the sun and go back to darkness. It's harder than I've ever had it.",0,0,1,0,0,0,0,0,0,0,0,0
"One day I don't eat, I'm not hungry, I don't want to eat, I hope I can die in bed tonight, and I don't have to wake up. I leave a farewell letter on my cell phone so I can ease their pain in case I leave suddenly. I'm happy. Of course, I still hope I don't wake up.",0,0,0,0,0,1,0,0,0,0,0,0
I can't remember. I can't remember. I can't remember.,0,1,0,0,0,1,0,1,0,0,0,0
I don't deserve good luck.,0,0,0,0,0,0,0,0,1,0,0,0
"But she doesn't know how I've been here all these years. Junior high school knew that I really hated myself, thought I was dirty, and really... it's permanent and it's gonna hurt twice. I feel like I'm going crazy. It's too bad.",0,0,0,0,0,0,0,0,0,1,0,0
"I'm ashamed of myself, too. I really am. I wish I didn't have good people in my world.",0,0,0,0,0,0,0,0,0,1,0,0
"My new year's wish for a birthday in the last two years has been to wish for the health of my family and friends, but this year my uncle left, so the wish cannot be fulfilled at all. I'm a 26-year-old adult. I still believe in it like a child.",0,1,0,0,0,0,0,0,0,0,0,0
I don't know how many times I've collapsed this year. Maybe I shouldn't have existed.,0,0,0,0,0,0,0,0,1,0,0,0
"I've stopped taking pills, I've had a complete breakdown, I'm really tired. Why can't I die?",0,0,1,0,0,0,0,0,0,0,0,0
"I want to live, but why do I have to force the people I love? Again and again, I really don't know what to do. If there's not a lot of things to do, I hope I can just sleep and not wake up again. Take me away. They won't bother me if I'm gone.",0,0,1,0,0,1,0,0,0,0,0,0
I hate myself so much that I can't change myself. Is it because I'm lonely?,0,0,0,0,0,0,0,0,0,0,1,0
"Yeah, well, what's the point of insisting? It's all suffering anyway.",0,1,0,0,0,1,0,0,0,0,0,0
"I can't talk to people because I can't work, and I can't talk to people.",0,0,1,0,0,0,1,0,0,0,0,0
"I don't want to talk to anyone who says I'm sick, I'm sick, I don't want to meet someone I know, I don't want to call back, I don't want to. I'm trying to pretend I'm optimistic and positive, I'm really trying, but I can't stop thinking about it.",0,0,1,0,0,0,0,0,0,0,0,0
"Meals, you know, I've been sick of myself for a long time. I've been sick of myself for a long time. I'm sick of seeing myself. But I can only feel like I'm real in this. It's sad.",0,0,1,0,0,0,0,0,0,0,0,0
Who called me poor?,0,0,0,0,0,0,0,0,0,1,0,0
But I'm just stupid.,0,0,0,0,0,0,0,0,0,1,0,0
They're the ones who think like that.,0,0,0,0,0,0,0,0,0,1,0,0
I've got to get better or I've got to get better or I've got to get better and worse.,0,0,1,0,0,1,0,0,0,0,0,0
"There's no such person, he/she leaves and makes you feel like your soul has lost a piece of it... it's not time to make up... it's not time... it's time to go back, it's time to find this... it's time to go back, it's time to find it, it's time to find it, it's time to find it, it's time to find it, it's time to find it, it's time to find it, it's time to find it, it's time to find it, it's time to die, it's time to die...",0,1,0,0,0,1,0,0,0,0,0,0
"All I dare say in my comments is that I'm depressed, but I don't dare. I think I'm a weak, lonely patient.",0,0,0,0,0,0,0,0,0,1,0,0
"Depressiveness is a disease of the poor, with daily mechanical work, family chores and sudden malice.",0,0,1,0,0,0,0,0,0,0,0,0
"I'm so tired, I'm so tired, I'm so tired, I'm so tired of watching the sun, I'm so tired I can't wake up and sleep and sleep for the rest of my life...",0,0,1,0,0,0,0,0,0,0,0,0
"I'm sorry, I'm very humble. I'll leave the world when I don't want to.",0,0,0,0,0,0,0,0,0,1,0,0
It's all because of me.,0,0,0,0,0,0,0,0,0,0,1,0
My existence is wrong.,0,0,0,0,0,0,0,0,0,0,1,0
How do you want me to live?,0,0,1,0,0,0,0,0,0,0,0,0
"Why is it always you? They always say you're nothing. Yeah, it's all my straw.",0,1,0,0,0,0,0,0,0,0,0,0
I'm so sad. I want to die for nothing.,0,0,0,0,0,0,1,0,0,0,0,0
"But who can come to me with nothing but energy, bad temper, black and thin and ugly?",0,0,0,0,0,0,0,0,0,1,0,0
"You think you're useless, but you're not going to suffer when you're dead.",0,0,0,0,0,0,0,0,0,1,0,0
Should I choose to trust? How should I trust? Is that too much to think of? Why can I be so cruel? What am I?,0,0,0,0,0,0,0,0,0,1,0,0
"Some girls are disgusting, they're making videos for a man to abuse other girls. Shouldn't they be thanked for the evidence they gave to the police? I have to talk to her about it, but I don't think she's going to call the police because of subsequent retaliation.",0,0,1,0,0,0,0,0,0,1,0,0
"Suddenly happy, suddenly sad, like a psycho, I just want to get beaten, and I can be beaten to death.",0,0,0,0,0,0,0,0,0,1,0,0
